Symbol,NCBI GeneID,Description,Ensembl GeneIDs
SPDYE16,102723555,speedy/RINGO cell cycle regulator family member E16,ENSG00000185040
SMIM38,107984345,small integral membrane protein 38,ENSG00000284713
MSBP2,4432,minisatellite binding protein 2,
SLC35G3,146861,solute carrier family 35 member G3,ENSG00000164729
KRTAP5-7,440050,keratin associated protein 5-7,ENSG00000244411
KRTAP5-11,440051,keratin associated protein 5-11,ENSG00000204571
SDIM1,100505705,stress responsive DNAJB4 interacting membrane protein 1,
SPRR5,110806278,small proline rich protein 5,ENSG00000283227
H2AL3,115482686,H2A.L variant histone 3,ENSG00000229674
ZNF593OS,118568799,ZNF593 opposite strand,ENSG00000236782
H2BN1,124188214,H2B.N variant histone 1,ENSG00000290320
ZNF578,147660,zinc finger protein 578,ENSG00000258405
ZNF844,284391,zinc finger protein 844,ENSG00000223547
LOC131768270,131768270,SLC35A4 upstream open reading frame protein,ENSG00000293600
NPIPB13,613037,"nuclear pore complex interacting protein family, member B13",ENSG00000198064
ZHX1-C8orf76,100533106,ZHX1-C8orf76 readthrough,ENSG00000259305
C9orf57,138240,chromosome 9 open reading frame 57,ENSG00000204669
TBC1D28,254272,TBC1 domain family member 28,ENSG00000189375
NUTM2E,283008,NUT family member 2E,ENSG00000228570
AKR1C8,340811,aldo-keto reductase family 1 member C8,ENSG00000264006
SMIM10L3,122526779,small integral membrane protein 10 like 3,ENSG00000286075
TAF11L2,391742,TATA-box binding protein associated factor 11 like 2,ENSG00000284373
NUTM2D,728130,NUT family member 2D,ENSG00000214562
EFCAB10,100130771,EF-hand calcium binding domain 10,ENSG00000185055
OR5D3,8594,olfactory receptor family 5 subfamily D member 3,ENSG00000186886
KRTAP6-2,337967,keratin associated protein 6-2,ENSG00000186930
KRTAP6-3,337968,keratin associated protein 6-3,ENSG00000212938
FAM90A26,100287045,family with sequence similarity 90 member A26,ENSG00000229924
WDR97,340390,WD repeat domain 97,ENSG00000179698
KRTAP5-4,387267,keratin associated protein 5-4,ENSG00000241598
KRTAP5-10,387273,keratin associated protein 5-10,ENSG00000204572
KDM4F,100129053,lysine demethylase 4F,ENSG00000255855
GOLGA8F,100132565,golgin A8 family member F,ENSG00000153684
RNF227,284023,ring finger protein 227,ENSG00000179859
OR13C9,286362,olfactory receptor family 13 subfamily C member 9,ENSG00000136839
NT5DC4,284958,5'-nucleotidase domain containing 4,ENSG00000144130
OR2I1,442197,olfactory receptor family 2 subfamily I member 1 (gene/pseudogene),ENSG00000237988
CCDC200,100874261,coiled-coil domain containing 200,ENSG00000236383
EEF1AKMT4,110599564,EEF1A lysine methyltransferase 4,ENSG00000284753
KRTAP22-1,337979,keratin associated protein 22-1,ENSG00000186924
GNG5B,347687,G protein subunit gamma 5B,ENSG00000133136
PNMA6E,649238,PNMA family member 6E,ENSG00000214897
CTXND2,100996521,cortexin domain containing 2,ENSG00000283324
LPAL1,4019,lipoprotein(a) like 1,
SSU72L6,136157,SSU72 like 6,ENSG00000230268
CENPVL1,389857,centromere protein V like 1,ENSG00000223591
FAM90A16,441323,family with sequence similarity 90 member A16,ENSG00000285620
FAM90A11,441331,family with sequence similarity 90 member A11,ENSG00000233115
BOLA2-SMG1P6,107282092,BOLA2-SMG1P6 readthrough,
MDFIC2,107986096,MyoD family inhibitor domain containing 2,ENSG00000242120
DUS4L-BCAP29,115253422,DUS4L-BCAP29 readthrough,ENSG00000288558
KRTAP21-1,337977,keratin associated protein 21-1,ENSG00000187005
C3orf85,401081,chromosome 3 open reading frame 85,ENSG00000241224
HNRNPA1L3,642659,heterogeneous nuclear ribonucleoprotein A1 like 3,ENSG00000224578
POC1B-GALNT4,100528030,POC1B-GALNT4 readthrough,ENSG00000259075
TAF11L12,112488739,TATA-box binding protein associated factor 11 like 12,ENSG00000249156
TAF11L11,112488746,TATA-box binding protein associated factor 11 like 11,ENSG00000283740
KRTAP5-5,439915,keratin associated protein 5-5,ENSG00000185940
OR10D3,26497,olfactory receptor family 10 subfamily D member 3,ENSG00000197309
TRIM51G,120824,tripartite motif-containing 51G,ENSG00000220948
KRTAP19-2,337969,keratin associated protein 19-2,ENSG00000186965
SPATA31C1,441452,SPATA31 subfamily C member 1,ENSG00000230246
OR9G9,504191,olfactory receptor family 9 subfamily G member 9,
OR4C5,79346,olfactory receptor family 4 subfamily C member 5,ENSG00000176540
SLC35G4,646000,solute carrier family 35 member G4,ENSG00000236396
URGCP-MRPS24,100534592,URGCP-MRPS24 readthrough,ENSG00000270617
ZNF511-PRAP1,104326056,ZNF511-PRAP1 readthrough,ENSG00000283496
PYDC5,107181291,pyrin domain containing 5,ENSG00000289721
SETDB2-PHF11,107303344,SETDB2-PHF11 readthrough,
EVPLL,645027,envoplakin like,ENSG00000214860
ZNF723,646864,zinc finger protein 723,ENSG00000268696
KRTAP9-6,100507608,keratin associated protein 9-6,ENSG00000212659
HIGD2B,123346,HIG1 hypoxia inducible domain family member 2B,ENSG00000175202
KRTAP19-3,337970,keratin associated protein 19-3,ENSG00000244025
KRTAP20-1,337975,keratin associated protein 20-1,ENSG00000244624
KRTAP20-2,337976,keratin associated protein 20-2,ENSG00000184032
REELD1,345051,reeler domain containing 1,ENSG00000250673
DEFB134,613211,defensin beta 134,ENSG00000205882
OR1S2,219958,olfactory receptor family 1 subfamily S member 2,ENSG00000197887
GOLGA8S,653061,golgin A8 family member S,ENSG00000261739
KRTAP20-3,337985,keratin associated protein 20-3,ENSG00000206104
TAF11L4,391746,TATA-box binding protein associated factor 11 like 4,ENSG00000284283
TAF11L3,646103,TATA-box binding protein associated factor 11 like 3,ENSG00000284439
TAF11L7,112488736,TATA-box binding protein associated factor 11 like 7,ENSG00000284465
TAF11L14,112488740,TATA-box binding protein associated factor 11 like 14,ENSG00000250782
TAF11L9,112488745,TATA-box binding protein associated factor 11 like 9,ENSG00000283988
TAF11L13,112488747,TATA-box binding protein associated factor 11 like 13,ENSG00000283776
CENPVL3,347549,centromere protein V like 3,ENSG00000224109
GRAPL,400581,GRB2 related adaptor protein like,ENSG00000189152
CENPVL2,441495,centromere protein V like 2,ENSG00000283093
SPATA31F3,100129969,SPATA31 subfamily F member 3,ENSG00000187791
USP17L23,101241878,ubiquitin specific peptidase 17 like family member 23,
OR52P1,81248,olfactory receptor family 52 subfamily P member 1 (gene/pseudogene),ENSG00000181109
OR14L1,127617,olfactory receptor family 14 subfamily L member 1,ENSG00000198452
NPIPB7,440350,nuclear pore complex interacting protein family member B7,ENSG00000233232
OR2J1,442185,olfactory receptor family 2 subfamily J member 1,ENSG00000204702
ZNF487,642819,zinc finger protein 487,ENSG00000243660
SPDYE9,643909,speedy/RINGO cell cycle regulator family member E9,ENSG00000262461
OR14A2,388761,olfactory receptor family 14 subfamily A member 2,ENSG00000241128
RBAK-RBAKDN,100533952,RBAK-RBAKDN readthrough,ENSG00000272968
LOC110384692,110384692,complement C4A (Rodgers blood group)-like,
CIMIP3,114841037,ciliary microtubule inner protein 3,ENSG00000287363
OR2AJ1,127608,olfactory receptor family 2 subfamily AJ member 1,ENSG00000177275
FAM180B,399888,family with sequence similarity 180 member B,ENSG00000196666
LOC102723655,102723655,TP53-target gene 3 protein,
LOC102723713,102723713,TP53-target gene 3 protein,
ZNF765-ZNF761,110116772,ZNF765-ZNF761 readthrough,
OR6J1,79549,olfactory receptor family 6 subfamily J member 1,ENSG00000255804
SPMIP11,255411,sperm microtubule inner protein 11,ENSG00000257987
KRTAP21-2,337978,keratin associated protein 21-2,ENSG00000187026
OR4M2,390538,olfactory receptor family 4 subfamily M member 2,ENSG00000274102
TNFAIP8L2-SCNM1,100534012,TNFAIP8L2-SCNM1 readthrough,ENSG00000163156
OR12D1,26530,olfactory receptor family 12 subfamily D member 1 (gene/pseudogene),
OR52E1,79296,olfactory receptor family 52 subfamily E member 1 (gene/pseudogene),ENSG00000273085
UBE2L5,171222,ubiquitin conjugating enzyme E2 L5,ENSG00000236444
TMEM272,283521,transmembrane protein 272,ENSG00000281106
PRAMEF11,440560,PRAME family member 11,ENSG00000239810
SPDYE14,641776,speedy/RINGO cell cycle regulator family member E14,ENSG00000286137
EXOC1L,644145,exocyst complex component 1 like,ENSG00000250821
SPDYE8,728524,speedy/RINGO cell cycle regulator family member E8,ENSG00000273520
F10-AS2,102724474,F10 antisense RNA 2,
TMEM276,84773,transmembrane protein 276,ENSG00000291317
PPP4R3C,139420,protein phosphatase 4 regulatory subunit 3C,ENSG00000224960
OR8G3,387815,olfactory receptor family 8 subfamily G member 3 (gene/pseudogene),ENSG00000255425
TAF11L6,391747,TATA-box binding protein associated factor 11 like 6,ENSG00000284042
LOC400499,400499,putative uncharacterized protein LOC400499,ENSG00000188897
PABPC1L2B,645974,poly(A) binding protein cytoplasmic 1 like 2B,ENSG00000184388
TAF11L5,646066,TATA-box binding protein associated factor 11 like 5,ENSG00000284234
FAM187A,100528020,family with sequence similarity 187 member A,ENSG00000214447
TAF11L8,112488737,TATA-box binding protein associated factor 11 like 8,ENSG00000283967
TAF11L10,112488738,TATA-box binding protein associated factor 11 like 10,ENSG00000284356
OR4M2B,118568804,olfactory receptor family 4 subfamily M member 2B,ENSG00000182974
DDX11L13,138304584,DEAD/H-box helicase 11 like 13,
SSU72L3,143506,SSU72 like 3,ENSG00000284546
CLEC20A,400797,C-type lectin domain containing 20A,ENSG00000188585
MT1HL1,645745,metallothionein 1H like 1,ENSG00000244020
OR1R1,9596,olfactory receptor family 1 subfamily R member 1,ENSG00000180042
NT5C1B-RDH14,100526794,NT5C1B-RDH14 readthrough,ENSG00000250741
CKLF-CMTM1,100529251,CKLF-CMTM1 readthrough,ENSG00000254788
LOC102724428,102724428,salt inducible kinase 1B (putative),ENSG00000275993
FAM240C,285095,family with sequence similarity 240 member C,ENSG00000216921
SMIM10L2B,644596,small integral membrane protein 10 like 2B,ENSG00000196972
ARHGAP11A-SCG5,114118903,ARHGAP11A-SCG5 readthrough,ENSG00000288864
GOLGA6L7,728310,golgin A6 family like 7,ENSG00000261649
PWWP4,728317,PWWP domain containing 4,ENSG00000278803
C7orf78,102725191,chromosome 7 open reading frame 78,ENSG00000226690
OR2B8,65944,olfactory receptor family 2 subfamily B member 8 (gene/pseudogene),ENSG00000182477
OR10G6,79490,olfactory receptor family 10 subfamily G member 6,ENSG00000198674
KRTAP4-16,85354,keratin associated protein 4-16,ENSG00000241241
OR56B2,390073,olfactory receptor family 56 subfamily B member 2,ENSG00000181017
OR52E5,390082,olfactory receptor family 52 subfamily E member 5,ENSG00000277932
OR10AC1,392133,olfactory receptor family 10 subfamily AC member 1 (gene/pseudogene),
SPDYE21,442572,speedy/RINGO cell cycle regulator family member E21,ENSG00000230358
IGBP1C,645545,IGBP1 family member C,ENSG00000266826
GNG14,105372280,G protein subunit gamma 14,ENSG00000283980
NUTF2P4,128322,nuclear transport factor 2 pseudogene 4,ENSG00000234790
RAMACL,353267,RNA guanine-7 methyltransferase activating subunit like,ENSG00000235272
OR51A2,401667,olfactory receptor family 51 subfamily A member 2,ENSG00000205496
NPIPB12,440353,nuclear pore complex interacting protein family member B12,ENSG00000169203
PRAMEF14,729528,PRAME family member 14,ENSG00000204481
OR4N4C,105369274,olfactory receptor family 4 subfamily N member 4C,ENSG00000279408
GOLGA8Q,727909,golgin A8 family member Q,ENSG00000178115
GOLGA6L19,101927601,golgin A6 family like 19,
CFAP298-TCP10L,110091775,CFAP298-TCP10L readthrough,ENSG00000265590
NCBP2L,392517,nuclear cap binding protein subunit 2 like,ENSG00000170935
SMIM36,101927367,small integral membrane protein 36,ENSG00000261873
P3R3URF,110117498,PIK3R3 upstream open reading frame,ENSG00000250719
SCYGR1,112441428,small cysteine and glycine repeat containing 1,ENSG00000284629
SCYGR3,112441429,small cysteine and glycine repeat containing 3,ENSG00000284704
SCYGR4,112441430,small cysteine and glycine repeat containing 4,ENSG00000284631
SCYGR6,112441431,small cysteine and glycine repeat containing 6,ENSG00000284725
SCYGR8,112441432,small cysteine and glycine repeat containing 8,ENSG00000284635
SCYGR2,112441435,small cysteine and glycine repeat containing 2,ENSG00000284643
SCYGR10,112441436,small cysteine and glycine repeat containing 10 (gene/pseudogene),ENSG00000284622
SCYGR5,112441437,small cysteine and glycine repeat containing 5,ENSG00000284667
SCYGR7,112441438,small cysteine and glycine repeat containing 7,ENSG00000284718
TMEM276-ZFTRAF1,157542,TMEM276-ZFTRAF1 readthrough,ENSG00000291316
ST20-MTHFS,100528021,ST20-MTHFS readthrough,ENSG00000259332
PVALEF,388428,parvalbumin like EF-hand containing,ENSG00000225180
C13orf42,647166,chromosome 13 open reading frame 42,ENSG00000226792
NPIPA9,105376752,nuclear pore complex interacting protein family member A9,ENSG00000233024
CNPY3-GNMT,107080644,CNPY3-GNMT readthrough,
KRTAP20-4,100151643,keratin associated protein 20-4,ENSG00000206105
EFCAB8,388795,EF-hand calcium binding domain 8,ENSG00000215529
SMIM34,388820,small integral membrane protein 34,ENSG00000243627
TEX53,105376230,testis expressed 53,ENSG00000230054
OR9H1,81439,olfactory receptor family 9 subfamily H member 1 pseudogene (gene/pseudogene),ENSG00000228336
SPDYE10,643862,speedy/RINGO cell cycle regulator family member E10,ENSG00000274570
SMIM39,113523639,small integral membrane protein 39,ENSG00000284479
TSC22D4-C7ORF61,122198330,TSC22D4-C7orf61 readthrough,
C10orf143,387723,chromosome 10 open reading frame 143,ENSG00000237489
CNTNAP3C,100289279,contactin associated protein family member 3C,ENSG00000283378
CTXND1,100996492,cortexin domain containing 1,ENSG00000259417
LOC102724183,102724183,Wnt family member 9-like,
LOC102724250,102724250,neuroblastoma breakpoint family member 1-like,
SYT15B,102724488,synaptotagmin 15B,ENSG00000277758
P3R3URF-PIK3R3,110117499,P3R3URF-PIK3R3 readthrough,ENSG00000278139
ZNF470-DT,112268241,ZNF470 divergent transcript,
RIPPLY2-CYB5R4,123956252,RIPPLY2-CYB5R4 readthrough,
SSU72L5,196120,SSU72 like 5,ENSG00000284018
TAS2R33,266665,taste 2 receptor member 33,
TAS2R36,266666,taste 2 receptor member 36,
SSU72L2,390031,SSU72 like 2,ENSG00000284306
SSU72L1,390033,SSU72 like 1,ENSG00000284438
MAGEB6B,392433,MAGE family member B6B,ENSG00000232030
LRRC74B,400891,leucine rich repeat containing 74B,ENSG00000187905
LOC441239,441239,uncharacterized LOC441239,
SSU72L4,441584,SSU72 like 4,ENSG00000283873
FKBP1C,642489,FKBP prolyl isomerase family member 1C,ENSG00000198225
PRRT1B,642515,proline rich transmembrane protein 1B,ENSG00000283526
PRAMEF33,645382,PRAME family member 33,ENSG00000237700
GOLGA8T,653075,golgin A8 family member T,ENSG00000261247
MS4A18,728588,membrane spanning 4-domains A18,ENSG00000214782
GLYATL1B,100287520,glycine-N-acyltransferase like 1B,ENSG00000255151
LOC100288966,100288966,POTE ankyrin domain family member D-like,
TCP11X1,100996631,"t-complex 11 family, X-linked 1",ENSG00000268235
LITAFD,101929989,LITAF domain containing,ENSG00000283516
TLE7,102723796,TLE family member 7,ENSG00000260734
SPDYE15,105180391,speedy/RINGO cell cycle regulator family member E15,ENSG00000286014
PPIAL4H,105371242,peptidylprolyl isomerase A like 4H,ENSG00000270339
NFILZ,105372267,NFIL3 like basic leucine zipper,ENSG00000268480
MARCOL,105378220,MARCO like,ENSG00000248109
SPEM3,107983988,SPEM family member 3,ENSG00000283439
UPK3BL2,107983993,uroplakin 3B like 2,ENSG00000284981
PMIS2,111216276,PMIS2 transmembrane protein,ENSG00000283758
SMIM41,113523638,small integral membrane protein 41,ENSG00000284791
NPIPA6,131675794,"nuclear pore complex interacting protein family, member A6",ENSG00000183889
GPR36,2860,G protein-coupled receptor 36,
TBXA1R,6914,thromboxane A1 receptor,
NR1I4,22817,nuclear receptor subfamily 1 group I member 4,
PRSS51,346702,serine protease 51,ENSG00000253649
OR5BS1,390313,olfactory receptor family 5 subfamily BS member 1,ENSG00000198678
OR51C1,401661,olfactory receptor family 51 subfamily C member 1,ENSG00000197674
OSTCP2,646567,oligosaccharyltransferase complex subunit pseudogene 2,
DSTNP4,729454,DSTN pseudogene 4,
SPDYE12,100101268,speedy/RINGO cell cycle regulator family member E12,ENSG00000184616
FAM236A,100129407,family with sequence similarity 236 member A,ENSG00000275520
ETDB,100129515,embryonic testis differentiation homolog B,ENSG00000224107
KRTAP22-2,100288287,keratin associated protein 22-2,ENSG00000206106
PRR20G,100419008,proline rich 20G,ENSG00000239620
MSANTD7,100421372,Myb/SANT DNA binding domain containing 7,ENSG00000284024
SMIM35,100526771,small integral membrane protein 35,ENSG00000255274
LOC100652777,100652777,group 10 secretory phospholipase A2,
LOC100653133,100653133,golgin subfamily A member 6-like protein 1,
LOC100996598,100996598,uncharacterized LOC100996598,
LOC101059915,101059915,chromosome X open reading frame 49-like,ENSG00000283599
SAXO3,101059948,stabilizer of axonemal microtubules 3,ENSG00000268655
LOC101060341,101060341,putative uncharacterized protein FLJ44672,
ETDA,101928677,embryonic testis differentiation homolog A,ENSG00000238210
LOC101929601,101929601,putative exonuclease GOR,
LOC101929627,101929627,putative exonuclease GOR,
LOC101929805,101929805,myomegalin-like,
TEX51,101929926,testis expressed 51,ENSG00000237524
LOC102723451,102723451,family with sequence similarity 243 member B,ENSG00000277277
LOC102723502,102723502,POTE ankyrin domain family member B-like,
LOC102723532,102723532,olfactory receptor 4N4-like,
CLK3-AS1,102723750,CLK3 antisense RNA 1,
LOC102723934,102723934,BCL-6 corepressor-like,
UBE2V1P16,102723952,UBE2V1 pseudogene 16,
LOC102723996,102723996,ICOS ligand,ENSG00000277117
LOC102724014,102724014,translation initiation factor IF-2-like,
LOC102724052,102724052,translation initiation factor IF-2-like,
CCNYL1B,102724485,cyclin Y like 1B,ENSG00000284209
LOC102724737,102724737,40S ribosomal protein S8-like,ENSG00000281087
SPDYE13,105180390,speedy/RINGO cell cycle regulator family member E13,ENSG00000286038
SMIM47,105372440,small integral membrane protein 47,ENSG00000261341
FAM236D,105373251,family with sequence similarity 236 member D,ENSG00000225396
TMEM275,105378696,transmembrane protein 275,ENSG00000282881
PRH1-TAS2R14,106707243,PRH1-TAS2R14 readthrough,ENSG00000212127
PPIAP40,107984349,peptidylprolyl isomerase A pseudogene 40,
LBHD2,107984640,LBH domain containing 2,ENSG00000283071
LINC02798,107985194,long intergenic non-protein coding RNA 2798,ENSG00000227082
PPIAP60,107985791,peptidylprolyl isomerase A pseudogene 60,
OOSP4B,107987155,oocyte secreted protein family member 4B,ENSG00000255393
FAM236C,109729126,family with sequence similarity 236 member C,ENSG00000283594
SMIM28,110806279,small integral membrane protein 28,ENSG00000262543
CCDC194,110806280,coiled-coil domain containing 194,ENSG00000269720
CCDC195,110806281,coiled-coil domain containing 195,ENSG00000283428
MYOCOS,110806290,myocilin opposite strand,ENSG00000283683
C1orf232,110806296,chromosome 1 open reading frame 230,ENSG00000282872
FAM240B,110806297,family with sequence similarity 240 member B,ENSG00000283329
C17orf113,110806298,chromosome 17 open reading frame 113,ENSG00000267221
ETDC,110806299,embryonic testis differentiation homolog C,ENSG00000283644
CSNK2A2IP,111064647,casein kinase 2 subunit alpha' interacting protein,ENSG00000283434
SMIM33,111064649,small integral membrane protein 33,ENSG00000283288
TEX54,111216277,testis expressed 54,ENSG00000283268
THSD8,111644133,thrombospondin type 1 domain containing 8,ENSG00000284491
TMDD1,112163659,transmembrane and death domain 1,ENSG00000284730
TMA7B,112268293,translation machinery associated 7 homolog B,ENSG00000225528
HIGD2AP2,112268442,HIGD2A pseudogene 2,
TMEM271,112441426,transmembrane protein 271,ENSG00000273238
OOSP4A,112577462,oocyte secreted protein family member 4A,ENSG00000285010
SMIM40,113523636,small integral membrane protein 40,ENSG00000286920
ATF7-NPFF,114108587,ATF7-NPFF readthrough,ENSG00000267281
ABCF2-H2BK1,114483834,ABCF2-H2BK1 readthrough,ENSG00000285292
FOXL3,116033993,forkhead box L3,ENSG00000248767
TBCEL-TECTA,116804918,TBCEL-TECTA readthrough,
FAM246C,117134596,family with sequence similarity 246 member C (gene/pseudogene),ENSG00000286025
FAM246B,117134597,family with sequence similarity 246 member B,ENSG00000286175
FAM246A,117134598,family with sequence similarity 246 member A,ENSG00000286102
SMIM42,117981789,small integral membrane protein 42,ENSG00000288460
C17orf114,119139905,chromosome 17 open reading frame 114,ENSG00000262165
TMEM217B,121725057,transmembrane protein 217B,ENSG00000286105
RNF228,122319436,ring finger protein 228,ENSG00000288658
SMIM44,122405565,small integral membrane protein 44,ENSG00000284638
C1orf202,122455338,chromosome 1 open reading frame 202,ENSG00000284188
C8orf90,122455339,chromosome 8 open reading frame 90,ENSG00000226490
TPD52-MRPS28,124188259,TPD52-MRPS28 readthrough,
EFNA4-EFNA3,125467750,EFNA4-EFNA3 readthrough,ENSG00000251246
SMIM46,127138866,small integral membrane protein 46,ENSG00000289762
KYAT1-SPOUT1,127739546,KYAT1-SPOUT1 readthrough,
RBM27-POU4F3,127814297,RBM27-POU4F3 readthrough,ENSG00000275740
MPV17L-BMERB1,127898555,MPV17L-BMERB1 readthrough,
POC1B-DUSP6,133039968,POC1B-DUSP6 readthrough,
LYPLA1-TCEA1,133039973,LYPLA1-TCEA1 readthrough,
KIAA1191-AS1,139355219,KIAA1191 antisense RNA 1,
EBAG9UORF,139907707,uncharacterized EBAG9uORF,
FAM171B-AS1,141369872,FAM171B and ITGAV antisense RNA 1,
FAM168A-AS1,141858804,FAM168A antisense RNA 1,
LOC102725023,102725023,killer cell immunoglobulin-like receptor 2DS3-like,
LOC107983983,107983983,putative V-set and immunoglobulin domain-containing-like protein IGHV4OR15-8,
LOC124909483,124909483,uncharacterized LOC124909483,
LOC128706665,128706665,uncharacterized LOC128706665,ENSG00000285723
LOC728743,728743,zinc finger domain-containing protein LOC728743,ENSG00000284691
LOC128092253,128092253,umcharacterized LOC128092253,ENSG00000288529
LOC128706666,128706666,uncharacterized LOC128706666,ENSG00000285508
LOC100996750,100996750,keratin-associated protein 4-7,
LOC102723553,102723553,small integral membrane protein 11B,ENSG00000273590
LOC730098,730098,uncharacterized LOC730098,ENSG00000187186
LOC124901104,124901104,uncharacterized LOC124901104,
LOC124902135,124902135,uncharacterized LOC124902135,
LOC124903164,124903164,uncharacterized LOC124903164,
LOC124903185,124903185,uncharacterized LOC124903185,ENSG00000285714
LOC124907425,124907425,uncharacterized LOC124907425,
LOC112694756,112694756,uncharaterized LOC112694756,ENSG00000285043
LOC128125822,128125822,uncharacterized LOC128125822,ENSG00000285976
LOC100653049,100653049,"keratin, type I cuticular Ha4",
LOC124901868,124901868,vegetative cell wall protein gp1,
LOC124903442,124903442,uncharacterized LOC124903442,
LOC124904102,124904102,uncharacterized LOC124904102,
LOC124904333,124904333,octapeptide-repeat protein T2,
LOC124908066,124908066,proteoglycan 4-like,
LOC124909486,124909486,uncharacterized LOC124909486,
LOC647264,647264,keratin-associated protein 21-1,ENSG00000285566
LOC100286986,100286986,atrophin-domain containing,
LOC107987020,107987020,uncharacterized LOC107987020,
LOC112267897,112267897,keratin-associated protein 21-1-like,ENSG00000237378
LOC112268458,112268458,keratinocyte proline-rich protein,
LOC124901178,124901178,translation initiation factor IF-2,
LOC124904583,124904583,uncharacterized LOC124904583,
LOC124906109,124906109,serine/arginine repetitive matrix protein 1,
LOC124906293,124906293,uncharacterized LOC124906293,
LOC124907012,124907012,endogenous retrovirus group K member 7 Env polyprotein-like,
LOC124908018,124908018,uncharacterized LOC124908018,
LOC100129098,100129098,uncharacterized LOC100129098,
LOC100507221,100507221,uncharacterized LOC100507221,
LOC100996696,100996696,polyadenylate-binding protein 4-like,ENSG00000237176
LOC100996701,100996701,uncharacterized LOC100996701,
LOC100996709,100996709,ADP-ribosylation factor-like protein 17,
LOC101060212,101060212,puromycin-sensitive aminopeptidase-like protein,
LOC101060588,101060588,uncharacterized LOC101060588,
LOC101927180,101927180,V-type proton ATPase subunit F-like,
LOC101927345,101927345,putative ankyrin repeat domain-containing protein 20A12,
LOC101927375,101927375,ankyrin repeat domain-containing protein 26-like,
LOC101928044,101928044,zinc finger CCHC domain-containing protein 9-like,
LOC101929614,101929614,proline-rich receptor-like protein kinase PERK10,ENSG00000289623
LOC101929773,101929773,UDP-glucuronosyltransferase 2B10-like,
LOC101929775,101929775,C-Jun-amino-terminal kinase-interacting protein 1-like,
LOC101929937,101929937,serine/arginine repetitive matrix protein 2-like,
LOC101930434,101930434,putative golgin subfamily A member 8I,
LOC102723382,102723382,ankyrin repeat domain-containing protein 20B-like,
LOC102723564,102723564,E3 ubiquitin-protein ligase HERC2-like,ENSG00000290912
LOC102723573,102723573,40S ribosomal protein S8-like,
LOC102723728,102723728,nodal modulator 3-like,
LOC102723971,102723971,lipocalin 1-like,ENSG00000236543
LOC102724117,102724117,golgin subfamily A member 6-like protein 4,
LOC102724200,102724200,trafficking protein particle complex subunit 10-like,ENSG00000280433
LOC102724207,102724207,ankyrin repeat domain-containing protein 36C-like,
LOC102724813,102724813,protein FRG1B,
LOC102724877,102724877,uncharacterized LOC102724877,ENSG00000276407
LOC102725035,102725035,leukocyte immunoglobulin-like receptor subfamily B member 3,
LOC105369591,105369591,uncharacterized LOC105369591,
LOC105369669,105369669,uncharacterized LOC105369669,
LOC105369787,105369787,endogenous retrovirus group K member 21 Env polyprotein,
LOC105370092,105370092,uncharacterized LOC105370092,
LOC105370706,105370706,uncharacterized LOC105370706,
LOC105371206,105371206,uncharacterized LOC105371206,
LOC105371216,105371216,uncharacterized LOC105371216,
LOC105371253,105371253,uncharacterized LOC105371253,
LOC105371932,105371932,uncharacterized LOC105371932,
LOC105372073,105372073,uncharacterized LOC105372073,
LOC105372204,105372204,uncharacterized LOC105372204,
LOC105372704,105372704,uncharacterized LOC105372704,
LOC105373071,105373071,uncharacterized LOC105373071,
LOC105373091,105373091,sterile alpha motif domain-containing protein 1-like,
LOC105373146,105373146,uncharacterized LOC105373146,
LOC105373397,105373397,uncharacterized LOC105373397,
LOC105373989,105373989,putative cuticle collagen 91,
LOC105374298,105374298,keratinocyte proline-rich protein-like,
LOC105374341,105374341,uncharacterized LOC105374341,
LOC105374355,105374355,vegetative cell wall protein gp1-like,
LOC105375012,105375012,uncharacterized LOC105375012,
LOC105375107,105375107,uncharacterized LOC105375107,
LOC105375112,105375112,uncharacterized LOC105375112,
LOC105375116,105375116,TRIO and F-actin-binding protein-like,
LOC105375434,105375434,uncharacterized LOC105375434,
LOC105375604,105375604,uncharacterized threonine-rich GPI-anchored glycoprotein PJ4664.02-like,
LOC105375816,105375816,putative coiled-coil domain-containing protein 144C,
LOC105375817,105375817,POTE ankyrin domain family member A-like,
LOC105375947,105375947,translation initiation factor IF-2-like,
LOC105376335,105376335,serine/arginine repetitive matrix protein 1-like,
LOC105376722,105376722,uncharacterized LOC105376722,
LOC105377015,105377015,translation initiation factor IF-2-like,
LOC105377805,105377805,basic salivary proline-rich protein 4-like,
LOC105377864,105377864,uncharacterized LOC105377864,
LOC105378148,105378148,uncharacterized LOC105378148,
LOC105378149,105378149,zinc finger protein 227-like,
LOC105378571,105378571,uncharacterized LOC105378571,
LOC105378947,105378947,proline-rich extensin-like protein EPR1,
LOC105379198,105379198,uncharacterized LOC105379198,
LOC105379199,105379199,uncharacterized LOC105379199,ENSG00000286615
LOC105379278,105379278,putative tyrosine-protein phosphatase TPTE,
LOC105379417,105379417,putative ankyrin repeat domain-containing protein 20A2,
LOC105379473,105379473,uncharacterized LOC105379473,
LOC105379504,105379504,salivary glue protein Sgs-3-like,
LOC105379522,105379522,zinc finger protein 717-like,
LOC105379545,105379545,uncharacterized LOC105379545,
LOC105379554,105379554,maFF-interacting protein,
LOC105379561,105379561,uncharacterized LOC105379561,
LOC105379585,105379585,keratinocyte proline-rich protein-like,
LOC107983958,107983958,uncharacterized LOC107983958,
